source,task,reasoning_score,creativity_score,complexity_score,is_complex,level
LiveBench-Reasoning,zebra_puzzle,0.5939,0.0484,0.36802,False,Mid (0.3-0.6)
LiveBench-Reasoning,zebra_puzzle,0.6943,0.0499,0.40657,True,High (>0.6)
LiveBench-Reasoning,zebra_puzzle,0.5809,0.0817,0.36422,False,Mid (0.3-0.6)
LiveBench-Reasoning,zebra_puzzle,0.5276,0.0651,0.35498,False,Mid (0.3-0.6)
LiveBench-Reasoning,zebra_puzzle,0.5887,0.0996,0.3629,False,Mid (0.3-0.6)
LiveBench-Reasoning,zebra_puzzle,0.6113,0.0563,0.39147,False,High (>0.6)
LiveBench-Reasoning,zebra_puzzle,0.5097,0.0693,0.38906,False,Mid (0.3-0.6)
LiveBench-Reasoning,zebra_puzzle,0.5594,0.0631,0.35828,False,Mid (0.3-0.6)
LiveBench-Reasoning,zebra_puzzle,0.6699,0.0991,0.37536,False,High (>0.6)
LiveBench-Reasoning,zebra_puzzle,0.136,0.0992,0.22694,False,Low (<0.3)
LiveBench-Reasoning,zebra_puzzle,0.6134,0.0968,0.39324,False,High (>0.6)
LiveBench-Reasoning,zebra_puzzle,0.57,0.0522,0.38083,False,Mid (0.3-0.6)
LiveBench-Reasoning,zebra_puzzle,0.5406,0.044,0.40002,True,Mid (0.3-0.6)
LiveBench-Reasoning,zebra_puzzle,0.4266,0.0693,0.33461,False,Mid (0.3-0.6)
LiveBench-Reasoning,zebra_puzzle,0.5712,0.0479,0.31104,False,Mid (0.3-0.6)
LiveBench-Reasoning,zebra_puzzle,0.157,0.096,0.20752,False,Low (<0.3)
LiveBench-Reasoning,zebra_puzzle,0.3723,0.0337,0.27297,False,Mid (0.3-0.6)
LiveBench-Reasoning,zebra_puzzle,0.1488,0.0702,0.20764,False,Low (<0.3)
LiveBench-Reasoning,zebra_puzzle,0.5964,0.1052,0.38097,False,Mid (0.3-0.6)
LiveBench-Reasoning,zebra_puzzle,0.1658,0.1451,0.23665,False,Low (<0.3)
LiveBench-Reasoning,zebra_puzzle,0.4213,0.0469,0.24894,False,Mid (0.3-0.6)
LiveBench-Reasoning,zebra_puzzle,0.4166,0.0518,0.2606,False,Mid (0.3-0.6)
LiveBench-Reasoning,zebra_puzzle,0.1582,0.1296,0.22546,False,Low (<0.3)
LiveBench-Reasoning,zebra_puzzle,0.1288,0.2794,0.26466,False,Low (<0.3)
LiveBench-Reasoning,zebra_puzzle,0.1786,0.1172,0.22609,False,Low (<0.3)
LiveBench-Reasoning,zebra_puzzle,0.1579,0.0908,0.22117,False,Low (<0.3)
LiveBench-Reasoning,zebra_puzzle,0.1673,0.0926,0.23448,False,Low (<0.3)
LiveBench-Reasoning,zebra_puzzle,0.1754,0.3067,0.27371,False,Low (<0.3)
LiveBench-Reasoning,zebra_puzzle,0.1107,0.0751,0.20816,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.0817,0.0547,0.38615,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1301,0.0715,0.37393,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1531,0.0595,0.37726,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1563,0.0491,0.35901,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1008,0.0681,0.39686,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1149,0.0366,0.40589,True,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1305,0.0138,0.3988,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1044,0.0206,0.35606,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1506,0.0321,0.33665,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1526,0.0251,0.35147,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1898,0.0912,0.38704,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1393,0.0733,0.39212,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1474,0.0767,0.3913,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.0815,0.0172,0.35944,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1455,0.0613,0.39642,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1267,0.1032,0.41193,True,Low (<0.3)
LiveBench-Coding,LCB_generation,0.0917,0.0304,0.34862,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1579,0.0101,0.36033,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1251,0.0378,0.37894,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1534,0.0803,0.39228,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.182,0.0552,0.37893,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1341,0.0272,0.38242,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1526,0.0952,0.42439,True,Low (<0.3)
LiveBench-Coding,LCB_generation,0.094,0.0375,0.3568,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1634,0.0138,0.34417,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1123,0.0518,0.38006,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.0951,0.0381,0.34996,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1315,0.0516,0.39449,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1736,0.0616,0.37408,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.0766,0.0309,0.36706,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.0906,0.0171,0.33384,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1271,0.0427,0.34365,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1251,0.0501,0.38024,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1455,0.0834,0.4093,True,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1498,0.0256,0.36096,False,Low (<0.3)
LiveBench-Coding,coding_completion,0.163,0.0523,0.40688,True,Low (<0.3)
LiveBench-Coding,coding_completion,0.1463,0.0492,0.3838,False,Low (<0.3)
LiveBench-Coding,coding_completion,0.1724,0.0697,0.40013,True,Low (<0.3)
LiveBench-Coding,coding_completion,0.1515,0.041,0.40734,True,Low (<0.3)
LiveBench-Coding,coding_completion,0.1138,0.0683,0.39293,False,Low (<0.3)
LiveBench-Coding,coding_completion,0.0974,0.0391,0.38705,False,Low (<0.3)
LiveBench-Coding,coding_completion,0.1903,0.0952,0.4111,True,Low (<0.3)
LiveBench-Coding,coding_completion,0.1555,0.0789,0.42771,True,Low (<0.3)
LiveBench-Coding,coding_completion,0.1322,0.0623,0.38919,False,Low (<0.3)
LiveBench-Coding,coding_completion,0.1738,0.0618,0.41186,True,Low (<0.3)
LiveBench-Coding,coding_completion,0.1478,0.0734,0.39974,False,Low (<0.3)
LiveBench-Coding,coding_completion,0.1019,0.0434,0.3736,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.2308,0.0831,0.39151,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1269,0.0365,0.38118,False,Low (<0.3)
LiveBench-Coding,LCB_generation,0.1618,0.0601,0.38513,False,Low (<0.3)
LiveBench-Language,connections,0.0887,0.0196,0.22602,False,Low (<0.3)
LiveBench-Language,connections,0.0951,0.0192,0.22531,False,Low (<0.3)
LiveBench-Language,connections,0.1042,0.0228,0.23172,False,Low (<0.3)
LiveBench-Language,connections,0.0932,0.0204,0.23106,False,Low (<0.3)
LiveBench-Language,connections,0.0976,0.0217,0.228,False,Low (<0.3)
LiveBench-Language,connections,0.097,0.0196,0.23462,False,Low (<0.3)
LiveBench-Language,connections,0.0963,0.0185,0.22792,False,Low (<0.3)
LiveBench-Language,connections,0.0857,0.0231,0.2273,False,Low (<0.3)
LiveBench-Language,connections,0.0843,0.022,0.22944,False,Low (<0.3)
LiveBench-Language,connections,0.0981,0.0212,0.22728,False,Low (<0.3)
LiveBench-Language,connections,0.0874,0.0192,0.23146,False,Low (<0.3)
LiveBench-Language,connections,0.0748,0.0229,0.22937,False,Low (<0.3)
LiveBench-Language,connections,0.0868,0.0211,0.2225,False,Low (<0.3)
LiveBench-Language,connections,0.082,0.0268,0.23125,False,Low (<0.3)
LiveBench-Language,connections,0.1089,0.0196,0.24852,False,Low (<0.3)
LiveBench-Language,connections,0.0907,0.0225,0.23356,False,Low (<0.3)
LiveBench-Language,connections,0.0952,0.0244,0.23629,False,Low (<0.3)
LiveBench-Language,connections,0.1024,0.0251,0.23887,False,Low (<0.3)
LiveBench-Language,connections,0.1023,0.0243,0.24262,False,Low (<0.3)
LiveBench-Language,connections,0.104,0.0225,0.2406,False,Low (<0.3)
LiveBench-Language,connections,0.0903,0.0234,0.23056,False,Low (<0.3)
LiveBench-Language,connections,0.0832,0.0231,0.23492,False,Low (<0.3)
LiveBench-Language,connections,0.0869,0.0226,0.22675,False,Low (<0.3)
LiveBench-Language,connections,0.0986,0.0256,0.23682,False,Low (<0.3)
LiveBench-Language,connections,0.0995,0.0298,0.23706,False,Low (<0.3)
LiveBench-Language,connections,0.1011,0.0189,0.23806,False,Low (<0.3)
LiveBench-Language,connections,0.0946,0.0186,0.23543,False,Low (<0.3)
LiveBench-Language,connections,0.0888,0.0224,0.24278,False,Low (<0.3)
LiveBench-Language,connections,0.0954,0.0233,0.23645,False,Low (<0.3)
LiveBench-Language,connections,0.0922,0.0242,0.23971,False,Low (<0.3)
LiveBench-Language,connections,0.0992,0.0215,0.22956,False,Low (<0.3)
LiveBench-Language,connections,0.097,0.0242,0.23695,False,Low (<0.3)
LiveBench-Language,connections,0.1131,0.0275,0.2421,False,Low (<0.3)
LiveBench-Language,connections,0.089,0.0232,0.24601,False,Low (<0.3)
LiveBench-Language,connections,0.0969,0.0178,0.249,False,Low (<0.3)
LiveBench-Language,connections,0.0935,0.0205,0.23288,False,Low (<0.3)
LiveBench-Language,connections,0.0942,0.0258,0.2404,False,Low (<0.3)
LiveBench-Language,connections,0.1137,0.0166,0.24838,False,Low (<0.3)
LiveBench-Language,connections,0.0901,0.0217,0.2398,False,Low (<0.3)
LiveBench-Language,connections,0.0969,0.0205,0.24122,False,Low (<0.3)
LiveBench-Language,connections,0.0938,0.0197,0.2412,False,Low (<0.3)
LiveBench-Language,connections,0.0873,0.0254,0.23266,False,Low (<0.3)
LiveBench-Language,connections,0.0719,0.0236,0.23324,False,Low (<0.3)
LiveBench-Language,connections,0.0806,0.0252,0.23175,False,Low (<0.3)
LiveBench-Language,connections,0.086,0.0229,0.23616,False,Low (<0.3)
LiveBench-Language,connections,0.0922,0.026,0.23926,False,Low (<0.3)
LiveBench-Language,connections,0.0914,0.0242,0.22903,False,Low (<0.3)
LiveBench-Language,connections,0.0948,0.0238,0.24724,False,Low (<0.3)
LiveBench-Language,connections,0.1007,0.0231,0.24184,False,Low (<0.3)
LiveBench-Language,connections,0.1015,0.0224,0.23423,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.1035,0.0041,0.26968,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0317,0.0042,0.24879,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0308,0.0038,0.24814,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0109,0.0104,0.28484,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0145,0.0081,0.27914,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0719,0.0038,0.29337,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0216,0.0032,0.27024,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0121,0.0029,0.24723,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0168,0.0024,0.22921,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0118,0.0063,0.24791,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0145,0.1874,0.33108,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0177,0.0067,0.2378,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0256,0.0033,0.26487,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0608,0.0015,0.26068,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0341,0.0056,0.27949,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0143,0.0071,0.25786,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0459,0.0057,0.25787,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.013,0.0064,0.20488,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0386,0.008,0.27084,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0618,0.0027,0.27292,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0195,0.0078,0.24558,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0828,0.0031,0.24904,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0227,0.0071,0.24232,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0284,0.0061,0.25904,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.1338,0.0022,0.27765,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0098,0.0091,0.27729,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0142,0.0065,0.25017,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0211,0.0046,0.2817,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0344,0.0026,0.25019,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.01,0.0047,0.22759,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0422,0.0012,0.21634,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0124,0.0051,0.27958,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0288,0.0026,0.2024,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0229,0.0098,0.25487,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0243,0.0031,0.24073,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0371,0.0021,0.24044,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0385,0.0042,0.23648,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0187,0.0044,0.27497,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0291,0.0064,0.27505,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0868,0.0025,0.27307,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0223,0.0052,0.26697,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0182,0.0094,0.24518,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0164,0.0073,0.28648,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0093,0.0018,0.22084,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0253,0.0028,0.25511,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0552,0.0043,0.28775,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0097,0.0057,0.23862,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0201,0.0037,0.2752,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0322,0.0031,0.26085,False,Low (<0.3)
LiveBench-DataAnalysis,tablereformat,0.0185,0.0019,0.2266,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0277,0.1519,0.27169,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.037,0.1874,0.29784,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0559,0.1742,0.31439,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0133,0.0188,0.18265,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0071,0.0284,0.17371,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0038,0.0334,0.15335,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0151,0.0802,0.21947,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0135,0.0675,0.18116,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0163,0.0517,0.21357,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0146,0.0552,0.21415,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.007,0.036,0.17146,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0207,0.0614,0.21648,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0137,0.0608,0.18592,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0145,0.0485,0.18527,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0156,0.0243,0.21741,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0204,0.0694,0.21297,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0172,0.0592,0.18379,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0304,0.0324,0.19893,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0105,0.0047,0.09741,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.01,0.0233,0.16386,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0125,0.0402,0.20116,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0238,0.1328,0.25348,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.018,0.1193,0.23068,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0197,0.1125,0.22834,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0137,0.079,0.213,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0184,0.1961,0.23378,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0126,0.0314,0.17866,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0225,0.0509,0.23032,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0137,0.0458,0.14537,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.016,0.0694,0.19448,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0117,0.0229,0.17924,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0139,0.0081,0.11627,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0076,0.0146,0.10685,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0135,0.0604,0.19988,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0126,0.0101,0.10771,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0298,0.0878,0.24472,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0104,0.0431,0.17822,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0422,0.1047,0.21781,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0146,0.0739,0.14204,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0125,0.0055,0.13777,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0124,0.0098,0.2053,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0137,0.0342,0.22006,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.017,0.0302,0.20978,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0111,0.0104,0.18952,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0103,0.0123,0.17127,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0168,0.0712,0.23164,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0135,0.0251,0.19485,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0086,0.0054,0.08244,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.0176,0.0098,0.10975,False,Low (<0.3)
LiveBench-InstructFollow,paraphrase,0.017,0.1985,0.23726,False,Low (<0.3)
