source,reasoning_score,dataset,complexity_level
LiveBench-Language,0.0903,LiveBench,Simple
ARC-Challenge,0.1162,Original,Simple
LiveBench-Math,0.6758,LiveBench,Complex
GSM8K,0.6296,Original,Complex
LiveBench-InstructFollow,0.0172,LiveBench,Simple
HellaSwag,0.0237,Original,Simple
MMLU-conceptual_physics,0.0411,Original,Simple
HellaSwag,0.0291,Original,Simple
HellaSwag,0.0031,Original,Simple
MMLU-college_physics,0.3034,Original,Medium
ARC-Challenge,0.1461,Original,Simple
LiveBench-DataAnalysis,0.0124,LiveBench,Simple
Winogrande,0.023,Original,Simple
LiveBench-Math,0.4333,LiveBench,Medium
ARC-Challenge,0.4378,Original,Medium
GSM8K,0.8177,Original,Complex
GSM8K,0.886,Original,Complex
LiveBench-Math,0.4833,LiveBench,Medium
ARC-Challenge,0.0525,Original,Simple
ARC-Easy,0.0199,Original,Simple
LiveBench-Math,0.4239,LiveBench,Medium
GSM8K,0.7392,Original,Complex
ARC-Challenge,0.0697,Original,Simple
ARC-Easy,0.0267,Original,Simple
LiveBench-Coding,0.1123,LiveBench,Simple
Winogrande,0.0133,Original,Simple
GSM8K,0.7398,Original,Complex
ARC-Challenge,0.0133,Original,Simple
LiveBench-Reasoning,0.5751,LiveBench,Medium
LiveBench-Reasoning,0.4844,LiveBench,Medium
ARC-Challenge,0.1224,Original,Simple
MMLU-formal_logic,0.2273,Original,Simple
LiveBench-Language,0.1131,LiveBench,Simple
GSM8K,0.8841,Original,Complex
LiveBench-InstructFollow,0.018,LiveBench,Simple
MMLU-conceptual_physics,0.3842,Original,Medium
LiveBench-InstructFollow,0.0139,LiveBench,Simple
MMLU-formal_logic,0.3038,Original,Medium
MMLU-conceptual_physics,0.0341,Original,Simple
GSM8K,0.8107,Original,Complex
ARC-Easy,0.1004,Original,Simple
MMLU-abstract_algebra,0.1297,Original,Simple
LiveBench-Math,0.3771,LiveBench,Medium
LiveBench-Coding,0.0917,LiveBench,Simple
LiveBench-Reasoning,0.1107,LiveBench,Simple
LiveBench-Math,0.4698,LiveBench,Medium
LiveBench-InstructFollow,0.0422,LiveBench,Simple
LiveBench-Math,0.3628,LiveBench,Medium
LiveBench-Reasoning,0.5615,LiveBench,Medium
GSM8K,0.8878,Original,Complex
ARC-Easy,0.0262,Original,Simple
LiveBench-Math,0.0802,LiveBench,Simple
GSM8K,0.7841,Original,Complex
GSM8K,0.9052,Original,Complex
LiveBench-Coding,0.0766,LiveBench,Simple
GSM8K,0.6709,Original,Complex
ARC-Challenge,0.248,Original,Simple
LiveBench-Language,0.0935,LiveBench,Simple
GSM8K,0.7221,Original,Complex
LiveBench-Reasoning,0.4752,LiveBench,Medium
LiveBench-Math,0.3322,LiveBench,Medium
MMLU-high_school_physics,0.5878,Original,Medium
LiveBench-Math,0.3553,LiveBench,Medium
Winogrande,0.0174,Original,Simple
GSM8K,0.7704,Original,Complex
LiveBench-Reasoning,0.6016,LiveBench,Complex
ARC-Easy,0.0696,Original,Simple
Winogrande,0.008,Original,Simple
LiveBench-Reasoning,0.5406,LiveBench,Medium
ARC-Easy,0.0468,Original,Simple
LiveBench-Math,0.5444,LiveBench,Medium
LiveBench-Reasoning,0.5102,LiveBench,Medium
